# time  created  delivered  delivered/created
339099.0000 339 130 0.3835
339950.0000 339 131 0.3864
339954.0000 339 132 0.3894
339958.0000 339 133 0.3923
339962.0000 339 134 0.3953
339966.0000 339 135 0.3982
339970.0000 339 136 0.4012
339974.0000 339 137 0.4041
339979.0000 339 138 0.4071
339983.0000 339 139 0.4100
340000.0000 340 139 0.4088
340610.0000 340 140 0.4118
340851.0000 340 141 0.4147
340855.0000 340 142 0.4176
340859.0000 340 143 0.4206
340863.0000 340 144 0.4235
340868.0000 340 145 0.4265
340872.0000 340 146 0.4294
340876.0000 340 147 0.4324
340880.0000 340 148 0.4353
341000.0000 341 148 0.4340
341992.0000 341 149 0.4370
342000.0000 342 149 0.4357
343000.0000 343 149 0.4344
343487.0000 343 150 0.4373
343491.0000 343 151 0.4402
343495.0000 343 152 0.4431
343499.0000 343 153 0.4461
343503.0000 343 154 0.4490
343507.0000 343 155 0.4519
343511.0000 343 156 0.4548
343515.0000 343 157 0.4577
343519.0000 343 158 0.4606
343524.0000 343 159 0.4636
343528.0000 343 160 0.4665
343532.0000 343 161 0.4694
343536.0000 343 162 0.4723
343540.0000 343 163 0.4752
343544.0000 343 164 0.4781
343548.0000 343 165 0.4810
343552.0000 343 166 0.4840
343556.0000 343 167 0.4869
343560.0000 343 168 0.4898
344000.0000 344 168 0.4884
344080.0000 344 169 0.4913
344084.0000 344 170 0.4942
344088.0000 344 171 0.4971
344092.0000 344 172 0.5000
344096.0000 344 173 0.5029
344101.0000 344 174 0.5058
344105.0000 344 175 0.5087
344136.0000 344 176 0.5116
344140.0000 344 177 0.5145
344144.0000 344 178 0.5174
344148.0000 344 179 0.5203
344152.0000 344 180 0.5233
344156.0000 344 181 0.5262
344161.0000 344 182 0.5291
344165.0000 344 183 0.5320
344169.0000 344 184 0.5349
344173.0000 344 185 0.5378
344177.0000 344 186 0.5407
344181.0000 344 187 0.5436
344185.0000 344 188 0.5465
345000.0000 345 188 0.5449
346000.0000 346 188 0.5434
347000.0000 347 188 0.5418
347429.0000 347 189 0.5447
347433.0000 347 190 0.5476
347509.0000 347 191 0.5504
347514.0000 347 192 0.5533
347518.0000 347 193 0.5562
347522.0000 347 194 0.5591
347526.0000 347 195 0.5620
347530.0000 347 196 0.5648
347534.0000 347 197 0.5677
347538.0000 347 198 0.5706
347732.0000 347 199 0.5735
347736.0000 347 200 0.5764
347740.0000 347 201 0.5793
347744.0000 347 202 0.5821
347748.0000 347 203 0.5850
347752.0000 347 204 0.5879
347756.0000 347 205 0.5908
347760.0000 347 206 0.5937
347801.0000 347 207 0.5965
347805.0000 347 208 0.5994
347809.0000 347 209 0.6023
347813.0000 347 210 0.6052
348000.0000 348 210 0.6034
349000.0000 349 210 0.6017
349302.0000 349 211 0.6046
350000.0000 350 211 0.6029
350020.0000 350 212 0.6057
350024.0000 350 213 0.6086
350028.0000 350 214 0.6114
350032.0000 350 215 0.6143
350036.0000 350 216 0.6171
350040.0000 350 217 0.6200
350044.0000 350 218 0.6229
350048.0000 350 219 0.6257
350052.0000 350 220 0.6286
350056.0000 350 221 0.6314
351000.0000 351 221 0.6296
351272.0000 351 222 0.6325
352000.0000 352 222 0.6307
353000.0000 353 222 0.6289
354000.0000 354 222 0.6271
354825.0000 354 223 0.6299
354892.0000 354 224 0.6328
355000.0000 355 224 0.6310
356000.0000 356 224 0.6292
357000.0000 357 224 0.6275
358000.0000 358 224 0.6257
359000.0000 359 224 0.6240
